# Existing direct encoding/json function calls.
#
# AGENTS.md requires business code to use common/json.go wrappers for JSON
# marshal/unmarshal operations. This baseline freezes existing call sites
# so new direct calls fail CI while old code is migrated incrementally.
#
# Format: <path>|<enclosing function>|<json selector>|<sha256(normalized call)>
controller/channel-billing.go|updateChannelCloseAIBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelOpenAISBBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelAIProxyBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelAPI2GPTBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelSiliconFlowBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelDeepSeekBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelAIGC2DBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelOpenRouterBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelMoonshotBalance|Unmarshal|d7a4bbf58b3151d53e68905b6060ad920944bbaa0d6c6c1c0fe88be32e034d49
controller/channel-billing.go|updateChannelBalance|Unmarshal|46a9579cb9c80e020d91043bd3cf0c05da89a6fdbd8b65466c3795a3e637e626
controller/channel-billing.go|updateChannelBalance|Unmarshal|3df63364d5fe5f35cc933cc2cdcf8b28c4aa5f2f0744c21f9364876785916be5
controller/console_migrate.go|MigrateConsoleSetting|Unmarshal|bcdd45a79ffdf482179db4212ca56bc912c76046885b91cc619342d16f70869c
controller/console_migrate.go|MigrateConsoleSetting|Marshal|af391e668907209f54f14f3f402a03be0b7caf7f206f11ef79164ff8d85db95f
controller/console_migrate.go|MigrateConsoleSetting|Unmarshal|bcdd45a79ffdf482179db4212ca56bc912c76046885b91cc619342d16f70869c
controller/console_migrate.go|MigrateConsoleSetting|Marshal|b676fe206eb44fe5bd335a61d0f385f7383b3d46cd554e6ead999e03c0732e57
controller/console_migrate.go|MigrateConsoleSetting|Marshal|65e72874ae8b2150c3785e8af143e1e3acaf66af7b5062825379211163c43fe7
controller/deployment.go|TestIoNetConnection|Unmarshal|0aff32e09a85a67d1ffb26f03744db2a6196b682563fb9bca36bc67e6bc15cb9
controller/discord.go|getDiscordUserInfoByCode|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
controller/discord.go|getDiscordUserInfoByCode|NewDecoder|4d0c26e8fa58bdb0c5f537b0ace454c979f3c8f0a35ea2e5e74fda46f9ddc9a9
controller/github.go|getGitHubUserInfoByCode|Marshal|143f0e7565c0ae9ec63514edc3df01ffd64656e84ebb437a776db18b41482840
controller/github.go|getGitHubUserInfoByCode|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
controller/github.go|getGitHubUserInfoByCode|NewDecoder|4d0c26e8fa58bdb0c5f537b0ace454c979f3c8f0a35ea2e5e74fda46f9ddc9a9
controller/linuxdo.go|getLinuxdoUserInfoByCode|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
controller/linuxdo.go|getLinuxdoUserInfoByCode|NewDecoder|4d0c26e8fa58bdb0c5f537b0ace454c979f3c8f0a35ea2e5e74fda46f9ddc9a9
controller/midjourney.go|UpdateMidjourneyTaskBulk|Marshal|84c92152a5e604587b9e7a49d43015339d549d9b9608db43862859d33c2e9ec7
controller/midjourney.go|UpdateMidjourneyTaskBulk|Unmarshal|1f43767e2ed9cc6c4d09233897cb129c60eac8e2f0ceb6da06822135279a2c76
controller/midjourney.go|UpdateMidjourneyTaskBulk|Marshal|a94b7820053b86d12899b13132b7cb90fd495bfcb281601dbe5214437610ac56
controller/midjourney.go|UpdateMidjourneyTaskBulk|Marshal|bcab14b3ab8142cf9c370ab4fa67ba523db802318c0238baaf97e88d98e24c59
controller/midjourney.go|UpdateMidjourneyTaskBulk|Marshal|3bfaa1b054790e95bd8bd83e0ad1ac0241147d6178e0a08467e03f4f29db6a6c
controller/midjourney.go|checkMjTaskNeedUpdate|Marshal|20a71e5a83bf926ecfe69d5861a4dbbd2f976b5997798ef857aec390fa9a15e3
controller/model_meta.go|enrichModels|Marshal|a2da6b346ff93776c463c1afd5a6ad7a4e117499a61427d2b1bc5a014827e24a
controller/model_meta.go|enrichModels|Marshal|a2da6b346ff93776c463c1afd5a6ad7a4e117499a61427d2b1bc5a014827e24a
controller/model_sync.go|fetchJSON|Unmarshal|f56c52bcda72d3e86474db3392395083226b9fec13223b5f4489771613b9902b
controller/model_sync.go|fetchJSON|Unmarshal|70c70a25f0283e8065bcf5d5bf6f50a1e9ee37a31fc81cd6f300d16f2abc11a5
controller/model_sync.go|fetchJSON|Unmarshal|f56c52bcda72d3e86474db3392395083226b9fec13223b5f4489771613b9902b
controller/model_sync.go|fetchJSON|Unmarshal|70c70a25f0283e8065bcf5d5bf6f50a1e9ee37a31fc81cd6f300d16f2abc11a5
controller/oidc.go|getOidcUserInfoByCode|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
controller/oidc.go|getOidcUserInfoByCode|NewDecoder|4d0c26e8fa58bdb0c5f537b0ace454c979f3c8f0a35ea2e5e74fda46f9ddc9a9
controller/tiered_billing_test.go|performTieredBillingUpdate|Marshal|2af017bb4f8b2b336f7069e3a6f219c0fb04cddbcb36aea984cee19b0af05e40
controller/tiered_billing_test.go|TestUpdateTieredBillingConfigAtomicallyUpdatesModeAndExpr|Unmarshal|80c32abf8b55ed520ba61e08871b1a3bcf25aa90146d3aacb07ff427b8fcb308
controller/tiered_billing_test.go|TestUpdateTieredBillingConfigRejectsInvalidExpression|Unmarshal|80c32abf8b55ed520ba61e08871b1a3bcf25aa90146d3aacb07ff427b8fcb308
controller/topup_creem.go|*CreemAdaptor.RequestPay|Unmarshal|77623a5221a2cabc4986ca29fe2cf0cbdffb83554fe5bd96abf38794bb21a7ad
controller/topup_creem.go|genCreemLink|Marshal|64d944a5ed933c0e1229638016ea7b948f3f7af016473b552da179ef724a2588
controller/topup_creem.go|genCreemLink|Unmarshal|246f2230ef15513f964156c37938859a8f00a897f55e0c3cd0043470ebf40108
controller/uptime_kuma.go|getAndDecode|NewDecoder|4e62c918bd14f5107549183c31d628b8b7c5c0f6d37c3b60ee14c04233f62047
controller/wechat.go|getWeChatIdByCode|NewDecoder|032c2fadb2b3bd14e88241bb5e9c7e1103ba0b6141f0525f0a9674892e6c8d59
dto/claude.go|*ClaudeRequest.GetEfforts|Unmarshal|3525f5b3c4bd5cbad903f267e36a9250edb08eb82f5ea217b5c72de9f368a9a3
dto/openai_request.go|*Message.ParseToolCalls|Unmarshal|2969087b249de385620df94374e7ded88cbe21b27c422ee1836cfcec6ef72d2a
dto/openai_request.go|*Message.SetToolCalls|Marshal|6fbd2e8a031c5a521cbdd73843d1599d5ce586be435295775ce81592e7035ed7
dto/values.go|*StringValue.UnmarshalJSON|Unmarshal|696c84522bd5ca3e97cd2054e281a036fe1ccc61e61e07b613c6af97dad8f64b
dto/values.go|*StringValue.UnmarshalJSON|Unmarshal|b302d32cbbccd546a60c4b7ee3efd96ffd097e331aab7a511ea77f01fb3a9d54
dto/values.go|*StringValue.UnmarshalJSON|Unmarshal|696c84522bd5ca3e97cd2054e281a036fe1ccc61e61e07b613c6af97dad8f64b
dto/values.go|StringValue.MarshalJSON|Marshal|bf55276c5dadb05a5567c2dc1c4275674fe68cba6e9dc1e5cf71c233b8b4c110
dto/values.go|*IntValue.UnmarshalJSON|Unmarshal|74017e5e429f1a6e2e2e721b508fa0ac0646035d76fd670867b236a774fc3775
dto/values.go|*IntValue.UnmarshalJSON|Unmarshal|a7b5a77e3c5c35fb27bbe1156e261507108920c432efc748ee5f208975d53213
dto/values.go|IntValue.MarshalJSON|Marshal|46f8a02fb525b82abfd486bb64d7a5f98eba67bb8d7581c4a207ab204e1eb9ff
dto/values.go|*BoolValue.UnmarshalJSON|Unmarshal|20093b52db26f80edb520049d20008b7c1a1ec58019c1671c2b1ccb20ef7c7b6
dto/values.go|*BoolValue.UnmarshalJSON|Unmarshal|696c84522bd5ca3e97cd2054e281a036fe1ccc61e61e07b613c6af97dad8f64b
dto/values.go|*BoolValue.UnmarshalJSON|Unmarshal|20093b52db26f80edb520049d20008b7c1a1ec58019c1671c2b1ccb20ef7c7b6
dto/values.go|BoolValue.MarshalJSON|Marshal|bc53c95a352b7d8ffde9f9b4d44968a905dfc0a762fdb9659c059feef11ed2a4
middleware/jimeng_adapter.go|JimengRequestConvert|Marshal|418a4a72b6b9c61eb7c62b58bb0f4bb1e23e251bda4f5a8f3514d66ebfd8d962
model/channel.go|*Channel.SetOtherInfo|Marshal|18d7bc9d32c6ec57f9b016303592cb5e327ffbe1abfc9b66cb7bd8033d1d36b0
model/passkey.go|*PasskeyCredential.TransportList|Unmarshal|8174884feacc1fdfef084adb2900b1a97565b6c6c5f072b2d390e1c1dbadaa7f
model/passkey.go|*PasskeyCredential.SetTransports|Marshal|891aca816b90a7b0706fdd24581e477bee4335c8f916733130b54141eb6448c7
model/prefill_group.go|*JSONValue.Scan|Marshal|be383ea6cfaaf292483613ff481847bcf18cbddf173a0870a25e345b29d9f5eb
model/pricing.go|updatePricing|Unmarshal|fc4d7eb2d1aedddae8988bc2c29dadcd7441835badae2b3274c3b3c0da3b4ab6
model/pricing.go|updatePricing|Unmarshal|fc4d7eb2d1aedddae8988bc2c29dadcd7441835badae2b3274c3b3c0da3b4ab6
oauth/discord.go|*DiscordProvider.ExchangeToken|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
oauth/discord.go|*DiscordProvider.GetUserInfo|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
oauth/github.go|*GitHubProvider.ExchangeToken|Marshal|143f0e7565c0ae9ec63514edc3df01ffd64656e84ebb437a776db18b41482840
oauth/github.go|*GitHubProvider.ExchangeToken|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
oauth/github.go|*GitHubProvider.GetUserInfo|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
oauth/linuxdo.go|*LinuxDOProvider.ExchangeToken|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
oauth/linuxdo.go|*LinuxDOProvider.GetUserInfo|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
oauth/oidc.go|*OIDCProvider.ExchangeToken|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
oauth/oidc.go|*OIDCProvider.GetUserInfo|NewDecoder|64ee82d1a886a8c84d5771d6a7733571f892d8b735ff5b5ffa0167dc5f1ecb39
relay/channel/ali/rerank.go|RerankHandler|Unmarshal|66eb02820ea009d9d095c26550faf57ec59dba488d801f0cf3a611d01b3cfcf7
relay/channel/ali/rerank.go|RerankHandler|Marshal|ea6233db65ed7e55f6f9ae4ca1f4d9b9ca04f9e508ab5eef3dc68f139231720d
relay/channel/aws/dto.go|formatRequest|Marshal|0811da817c96b432dc92949bfc702d029e13adb47ab075abd27b6b82eae30478
relay/channel/aws/relay-aws.go|handleNovaRequest|Unmarshal|d42307b92b274aacb69d483fb90f0053be946f9f9e1ec208c3f6d526cb27d9d0
relay/channel/baidu/relay-baidu.go|baiduHandler|Unmarshal|6c88b37cda6b69cb880852f57074d792626b82bd771acbab3a46754f80631684
relay/channel/baidu/relay-baidu.go|baiduHandler|Marshal|92981973316a59184c1f9d4fdca6fe3a1045b5da6a30f89abb52b516f1849571
relay/channel/baidu/relay-baidu.go|baiduEmbeddingHandler|Unmarshal|6c88b37cda6b69cb880852f57074d792626b82bd771acbab3a46754f80631684
relay/channel/baidu/relay-baidu.go|baiduEmbeddingHandler|Marshal|92981973316a59184c1f9d4fdca6fe3a1045b5da6a30f89abb52b516f1849571
